# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct 20 15:34:28 2018
#
# CONSTRAINT:  where (pl_pnum > 1
# CONSTRAINT:  )
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_pnum:        Number of Planets in System
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [AU])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [AU]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [AU]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_orbeccenerr1: Eccentricity Upper Unc.
# COLUMN pl_orbeccenerr2: Eccentricity Lower Unc.
# COLUMN pl_orbeccenlim: Eccentricity Limit Flag
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_orbinclerr1: Inclination Upper Unc. [deg]
# COLUMN pl_orbinclerr2: Inclination Lower Unc. [deg]
# COLUMN pl_orbincllim:  Inclination Limit Flag
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_bmassjerr1:  Planet Mass or M*sin(i) Upper Unc. [Jupiter mass]
# COLUMN pl_bmassjerr2:  Planet Mass or M*sin(i) Lower Unc. [Jupiter mass]
# COLUMN pl_bmassjlim:   Planet Mass or M*sin(i) Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or M*sin(i) Provenance
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter radii]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter radii]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_dens:        Planet Density [g/cm**3]
# COLUMN pl_denserr1:    Planet Density Upper Unc. [g/cm**3]
# COLUMN pl_denserr2:    Planet Density Lower Unc. [g/cm**3]
# COLUMN pl_denslim:     Planet Density Limit Flag
# COLUMN pl_ttvflag:     TTV Flag
# COLUMN pl_kepflag:     Kepler Field Flag
# COLUMN pl_k2flag:      K2 Mission Flag
# COLUMN pl_nnotes:      Number of Notes
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_disterr1:    Distance Upper Unc. [pc]
# COLUMN st_disterr2:    Distance Lower Unc. [pc]
# COLUMN st_distlim:     Distance Limit Flag
# COLUMN st_optmag:      Optical Magnitude [mag]
# COLUMN st_optmagerr:   Optical Magnitude Unc. [mag]
# COLUMN st_optmaglim:   Optical Magnitude Limit Flag
# COLUMN st_optband:     Optical Magnitude Band
# COLUMN gaia_gmag:      G-band (Gaia) [mag]
# COLUMN gaia_gmagerr:   G-band (Gaia) Unc. [mag]
# COLUMN gaia_gmaglim:   G-band (Gaia) Limit Flag
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_tefferr1:    Effective Temperature Upper Unc. [K]
# COLUMN st_tefferr2:    Effective Temperature Lower Unc. [K]
# COLUMN st_tefflim:     Effective Temperature Limit Flag
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_masserr1:    Stellar Mass Upper Unc. [Solar mass]
# COLUMN st_masserr2:    Stellar Mass Lower Unc. [Solar mass]
# COLUMN st_masslim:     Stellar Mass Limit Flag
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_raderr1:     Stellar Radius Upper Unc. [Solar radii]
# COLUMN st_raderr2:     Stellar Radius Lower Unc. [Solar radii]
# COLUMN st_radlim:      Stellar Radius Limit Flag
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_angsep:      Calculated Angular Separation [mas]
# COLUMN pl_angseperr1:  Calculated Angular Separation Upper Unc. [mas]
# COLUMN pl_angseperr2:  Calculated Angular Separation Lower Unc. [mas]
# COLUMN pl_orbtper:     Time of Periastron [days]
# COLUMN pl_orbtpererr1: Time of Periastron Upper Unc. [days]
# COLUMN pl_orbtpererr2: Time of Periastron Lower Unc. [days]
# COLUMN pl_orbtperlim:  Time of Periastron Limit Flag
# COLUMN pl_orblper:     Long. of Periastron [deg]
# COLUMN pl_orblpererr1: Long. of Periastron Upper Unc. [deg]
# COLUMN pl_orblpererr2: Long. of Periastron Lower Unc. [deg]
# COLUMN pl_orblperlim:  Long. of Periastron Limit Flag
# COLUMN pl_rvamp:       Radial Velocity Amplitude [m/s]
# COLUMN pl_rvamperr1:   Radial Velocity Amplitude Upper Unc. [m/s]
# COLUMN pl_rvamperr2:   Radial Velocity Amplitude Lower Unc. [m/s]
# COLUMN pl_rvamplim:    Radial Velocity Amplitude Limit Flag
# COLUMN pl_massj:       Planet Mass [Jupiter mass]
# COLUMN pl_massjerr1:   Planet Mass Upper Unc. [Jupiter mass]
# COLUMN pl_massjerr2:   Planet Mass Lower Unc. [Jupiter mass]
# COLUMN pl_massjlim:    Planet Mass Limit Flag
# COLUMN pl_msinij:      Planet M*sin(i) [Jupiter mass]
# COLUMN pl_msinijerr1:  Planet M*sin(i) Upper Unc. [Jupiter mass]
# COLUMN pl_msinijerr2:  Planet M*sin(i) Lower Unc. [Jupiter mass]
# COLUMN pl_msinijlim:   Planet M*sin(i) Limit Flag
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_tranmiderr1: Transit Midpoint Upper Unc. [days]
# COLUMN pl_tranmiderr2: Transit Midpoint Lower Unc. [days]
# COLUMN pl_tranmidlim:  Transit Midpoint Limit Flag
# COLUMN pl_tsystemref:  Time System Reference
# COLUMN pl_facility:    Discovery Facility
# COLUMN st_dens:        Stellar Density [g/cm**3]
# COLUMN st_denserr1:    Stellar Density Upper Unc. [g/cm**3]
# COLUMN st_denserr2:    Stellar Density Lower Unc. [g/cm**3]
# COLUMN st_denslim:     Stellar Density Limit Flag
#
loc_rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_ttvflag,pl_kepflag,pl_k2flag,pl_nnotes,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_distlim,st_optmag,st_optmagerr,st_optmaglim,st_optband,gaia_gmag,gaia_gmagerr,gaia_gmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_mass,st_masserr1,st_masserr2,st_masslim,st_rad,st_raderr1,st_raderr2,st_radlim,rowupdate,pl_angsep,pl_angseperr1,pl_angseperr2,pl_orbtper,pl_orbtpererr1,pl_orbtpererr2,pl_orbtperlim,pl_orblper,pl_orblpererr1,pl_orblpererr2,pl_orblperlim,pl_rvamp,pl_rvamperr1,pl_rvamperr2,pl_rvamplim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_tsystemref,pl_facility,st_dens,st_denserr1,st_denserr2,st_denslim
418,HD 159243,b,HD 159243 b,Radial Velocity,2,12.62000000,0.00400000,-0.00400000,0,0.110000,0.002000,-0.002000,0,0.020000,0.018000,-0.018000,0,,,,,1.13000,0.05000,-0.05000,0,Msini,,,,,,,,,0,0,0,0,17h33m21.55s,263.339783,+05d42m02.6s,5.700733,73.46,0.23,-0.23,0,8.646,0.014,0,V (Johnson),8.512,,0,6123.00,65.00,-65.00,0,1.12,0.03,-0.03,0,1.12,0.05,-0.05,0,2014-05-14,1.50000e+00,2.800000e-02,-2.800000e-02,,,,,223.0000,93.0000,-93.0000,0,91.100,2.100,-2.100,0,,,,,1.13000,0.05000,-0.05000,0,,,,,,Haute-Provence Observatory,,,,
419,HD 159243,c,HD 159243 c,Radial Velocity,2,248.40000000,4.90000000,-4.90000000,0,0.800000,0.020000,-0.020000,0,0.075000,0.050000,-0.050000,0,,,,,1.90000,0.13000,-0.13000,0,Msini,,,,,,,,,0,0,0,0,17h33m21.55s,263.339783,+05d42m02.6s,5.700733,73.46,0.23,-0.23,0,8.646,0.014,0,V (Johnson),8.512,,0,6123.00,65.00,-65.00,0,1.12,0.03,-0.03,0,1.12,0.05,-0.05,0,2014-05-14,1.09000e+01,2.700000e-01,-2.700000e-01,,,,,69.0000,97.0000,-97.0000,0,56.600,3.300,-3.300,0,,,,,1.90000,0.13000,-0.13000,0,,,,,,Haute-Provence Observatory,,,,
420,HD 159868,b,HD 159868 b,Radial Velocity,2,1178.40002000,8.80000000,-8.80000000,0,2.300000,0.040000,-0.040000,0,0.010000,0.020000,-0.020000,0,,,,0,2.51000,0.16000,-0.16000,0,Msini,,,,0,,,,0,0,0,0,0,17h38m59.52s,264.748016,-43d08m43.9s,-43.145515,55.94,0.17,-0.17,0,7.242,,0,V (Johnson),7.046,,0,5566.00,20.00,-20.00,0,1.42,0.12,-0.12,0,1.97,0.04,-0.04,0,2018-09-06,4.11000e+01,7.300000e-01,-7.300000e-01,,,,0,,,,0,38.300,1.100,-1.100,0,,,,,2.51000,0.16000,-0.16000,0,,,,0,,Anglo-Australian Telescope,,,,0
421,HD 159868,c,HD 159868 c,Radial Velocity,2,352.30000000,1.30000000,-1.30000000,0,1.000000,0.010000,-0.010000,0,0.150000,0.050000,-0.050000,0,,,,,0.73000,0.05000,-0.05000,0,Msini,,,,,,,,,0,0,0,0,17h38m59.52s,264.748016,-43d08m43.9s,-43.145515,55.94,0.17,-0.17,0,7.242,,0,V (Johnson),7.046,,0,5566.00,20.00,-20.00,0,1.42,0.12,-0.12,0,1.97,0.04,-0.04,0,2014-05-14,1.79000e+01,1.900000e-01,-1.900000e-01,2453239.000000,21.000000,-21.000000,0,290.0000,25.0000,-25.0000,0,20.100,1.100,-1.100,0,,,,,0.73000,0.05000,-0.05000,0,,,,,,Anglo-Australian Telescope,,,,0
422,HD 1605,b,HD 1605 b,Radial Velocity,2,577.20000000,2.50000000,-2.50000000,0,1.492000,0.038000,-0.038000,0,0.095000,0.057000,-0.057000,0,,,,0,0.93400,0.07900,-0.07900,0,Msini,,,,0,,,,0,0,0,0,0,00h20m31.52s,5.131330,+30d58m29.3s,30.974804,89.03,0.37,-0.37,0,7.520,,0,V (Johnson),7.257,,0,4915.00,,,0,1.33,0.09,-0.09,0,3.49,0.22,-0.22,0,2018-09-27,1.68000e+01,4.300000e-01,-4.300000e-01,2463760.000000,67.000000,-67.000000,0,216.0000,41.0000,-41.0000,0,18.970,0.630,-0.630,0,,,,0,0.93400,0.07900,-0.07900,0,,,,0,JD,Multiple Observatories,,,,0
423,HD 1605,c,HD 1605 c,Radial Velocity,2,2149.00000000,16.00000000,-16.00000000,0,3.584000,0.099000,-0.099000,0,0.099000,0.011000,-0.011000,0,,,,0,3.62000,0.23000,-0.23000,0,Msini,,,,0,,,,0,0,0,0,0,00h20m31.52s,5.131330,+30d58m29.3s,30.974804,89.03,0.37,-0.37,0,7.520,,0,V (Johnson),7.257,,0,4915.00,,,0,1.33,0.09,-0.09,0,3.49,0.22,-0.22,0,2018-09-27,4.03000e+01,1.120000e+00,-1.120000e+00,2464691.000000,79.000000,-79.000000,0,233.0000,9.2000,-9.2000,0,47.470,0.710,-0.710,0,,,,0,3.62000,0.23000,-0.23000,0,,,,0,JD,Multiple Observatories,,,,0
424,HD 160691,b,HD 160691 b,Radial Velocity,4,643.25000000,0.90000000,-0.90000000,0,1.497000,,,0,0.128000,0.017000,-0.017000,0,,,,,1.08000,,,0,Msini,,,,,,,,,0,0,0,0,17h44m08.70s,266.036255,-51d50m02.6s,-51.834053,15.61,0.03,-0.03,0,5.150,,0,V (Johnson),4.905,,0,5807.00,30.00,-30.00,0,1.08,0.05,-0.05,0,,,,,2014-08-21,9.59000e+01,1.800000e-01,-1.800000e-01,2452365.600000,12.600000,-12.600000,0,22.0000,7.0000,-7.0000,0,37.780,0.400,-0.400,0,,,,,1.08000,,,0,,,,,,Anglo-Australian Telescope,,,,
425,HD 160691,c,HD 160691 c,Radial Velocity,4,4205.80000000,758.90000000,-758.90000000,0,5.235000,,,0,0.098500,0.062700,-0.062700,0,,,,,1.81400,,,0,Msini,,,,,,,,,0,0,0,0,17h44m08.70s,266.036255,-51d50m02.6s,-51.834053,15.61,0.03,-0.03,0,5.150,,0,V (Johnson),4.905,,0,5807.00,30.00,-30.00,0,1.08,0.05,-0.05,0,,,,,2014-08-21,3.36000e+02,6.000000e-01,-6.000000e-01,2452955.200000,521.800000,-521.800000,0,57.6000,43.7000,-43.7000,0,21.790,2.300,-2.300,0,,,,,1.81400,,,0,,,,,,Anglo-Australian Telescope,,,,
426,HD 160691,d,HD 160691 d,Radial Velocity,4,9.63860000,0.00150000,-0.00150000,0,0.090940,,,0,0.172000,0.040000,-0.040000,0,,,,,0.03321,,,0,Msini,,,,,,,,,0,0,0,0,17h44m08.70s,266.036255,-51d50m02.6s,-51.834053,15.61,0.03,-0.03,0,5.150,,0,V (Johnson),4.905,,0,5807.00,30.00,-30.00,0,1.08,0.05,-0.05,0,,,,,2014-08-21,5.83000e+00,1.100000e-02,-1.100000e-02,2452991.100000,0.400000,-0.400000,0,212.7000,13.3000,-13.3000,0,3.060,0.130,-0.130,0,,,,,0.03321,,,0,,,,,,La Silla Observatory,,,,
427,HD 160691,e,HD 160691 e,Radial Velocity,4,310.55000000,0.83000000,-0.83000000,0,0.921000,,,0,0.066600,0.012200,-0.012200,0,,,,,0.52190,,,0,Msini,,,,,,,,,0,0,0,0,17h44m08.70s,266.036255,-51d50m02.6s,-51.834053,15.61,0.03,-0.03,0,5.150,,0,V (Johnson),4.905,,0,5807.00,30.00,-30.00,0,1.08,0.05,-0.05,0,,,,,2014-08-21,5.90000e+01,1.100000e-01,-1.100000e-01,2452708.700000,8.300000,-8.300000,0,189.6000,9.4000,-9.4000,0,14.910,0.590,-0.590,0,,,,,0.52190,,,0,,,,,,La Silla Observatory,,,,
431,HD 163607,b,HD 163607 b,Radial Velocity,2,75.19500000,0.03400000,-0.03400000,0,0.362000,0.017000,-0.017000,0,0.744000,0.012000,-0.012000,0,,,,0,0.79000,0.11000,-0.11000,0,Msini,,,,0,,,,0,0,0,0,0,17h53m40.50s,268.418732,+56d23m31.0s,56.391956,67.92,0.16,-0.16,0,8.000,,0,V (Johnson),7.813,,0,5522.00,,,0,1.12,0.16,-0.16,0,1.76,0.07,-0.07,0,2018-09-27,5.33000e+00,2.510000e-01,-2.510000e-01,2463584.700000,0.740000,-0.740000,0,79.7000,2.0000,-2.0000,0,53.000,1.400,-1.400,0,,,,0,0.79000,0.11000,-0.11000,0,,,,0,JD,W. M. Keck Observatory,,,,0
432,HD 163607,c,HD 163607 c,Radial Velocity,2,1267.40000000,7.20000000,-7.20000000,0,2.380000,0.120000,-0.120000,0,0.076000,0.023000,-0.023000,0,,,,0,2.16000,0.27000,-0.27000,0,Msini,,,,0,,,,0,0,0,0,0,17h53m40.50s,268.418732,+56d23m31.0s,56.391956,67.92,0.16,-0.16,0,8.000,,0,V (Johnson),7.813,,0,5522.00,,,0,1.12,0.16,-0.16,0,1.76,0.07,-0.07,0,2018-09-27,3.50000e+01,1.770000e+00,-1.770000e+00,2463887.000000,72.000000,-72.000000,0,287.0000,20.0000,-20.0000,0,37.720,0.950,-0.950,0,,,,0,2.16000,0.27000,-0.27000,0,,,,0,JD,W. M. Keck Observatory,,,,0
437,HD 164922,b,HD 164922 b,Radial Velocity,2,1155.00000000,23.00000000,-23.00000000,0,2.100000,0.040000,-0.040000,0,0.050000,0.090000,-0.090000,0,,,,0,0.31000,0.05000,-0.05000,0,Msini,,,,0,,,,0,0,0,0,0,18h02m30.86s,270.628601,+26d18m46.8s,26.313002,22.13,0.27,-0.27,0,6.990,,0,V (Johnson),6.786,,0,5372.00,12.00,-12.00,0,0.76,0.06,-0.06,0,0.97,0.01,-0.01,0,2018-09-06,9.49000e+01,2.150000e+00,-2.150000e+00,,,,0,,,,0,7.300,1.200,-1.200,0,,,,,0.31000,0.05000,-0.05000,0,,,,0,,W. M. Keck Observatory,,,,0
438,HD 164922,c,HD 164922 c,Radial Velocity,2,75.76500000,0.05800000,-0.05600000,0,0.335100,0.001500,-0.001500,0,0.220000,0.130000,-0.130000,0,,,,,0.04059,0.00503,-0.00503,0,Msini,,,,,,,,,0,0,0,0,18h02m30.86s,270.628601,+26d18m46.8s,26.313002,22.13,0.27,-0.27,0,6.990,,0,V (Johnson),6.786,,0,5372.00,12.00,-12.00,0,0.76,0.06,-0.06,0,0.97,0.01,-0.01,0,2016-10-27,1.51000e+01,2.000000e-01,-2.000000e-01,,,,,81.0000,45.0000,-49.0000,0,2.220,0.300,-0.290,0,,,,,0.04059,0.00503,-0.00503,0,,,,,,Multiple Observatories,,,,0
443,HD 168443,b,HD 168443 b,Radial Velocity,2,58.11247000,0.00030000,-0.00030000,0,0.293100,0.001810,,0,0.528830,0.001030,-0.001030,0,,,,,7.65900,0.09750,-0.09750,0,Msini,,,,,,,,,0,0,0,0,18h20m03.93s,275.016388,-09d35m44.6s,-9.595722,39.67,0.12,-0.12,0,6.917,0.011,0,V (Johnson),6.732,,0,5491.00,44.00,-44.00,0,0.99,0.02,-0.02,0,1.51,0.06,-0.06,0,2014-06-25,7.39000e+00,5.100000e-02,-5.100000e-02,2455626.199000,0.024000,-0.024000,0,172.9230,0.1390,-0.1390,0,475.133,0.910,-0.910,0,,,,,7.65900,0.09750,-0.09750,0,,,,,,W. M. Keck Observatory,,,,
444,HD 168443,c,HD 168443 c,Radial Velocity,2,1749.83000000,0.57000000,-0.57000000,0,2.837300,0.018000,-0.018000,0,0.211300,0.001710,-0.001710,0,,,,,17.19300,0.21000,-0.21000,0,Msini,,,,,,,,,0,0,0,0,18h20m03.93s,275.016388,-09d35m44.6s,-9.595722,39.67,0.12,-0.12,0,6.917,0.011,0,V (Johnson),6.732,,0,5491.00,44.00,-44.00,0,0.99,0.02,-0.02,0,1.51,0.06,-0.06,0,2015-02-05,7.15000e+01,5.000000e-01,-5.000000e-01,2455521.300000,2.200000,-2.200000,0,64.8700,0.5113,-0.5113,0,297.700,0.618,-0.618,0,,,,,17.19300,0.21000,-0.21000,0,,,,,,W. M. Keck Observatory,,,,
447,HD 169830,b,HD 169830 b,Radial Velocity,2,225.62000000,0.22000000,-0.22000000,0,0.810000,,,0,0.310000,0.010000,-0.010000,0,,,,,2.88000,,,0,Msini,,,,,,,,,0,0,0,1,18h27m49.48s,276.956177,-29d49m00.7s,-29.816866,37.64,0.15,-0.15,0,5.902,0.010,0,V (Johnson),5.762,,0,6299.00,,,0,1.40,,,0,,,,,2014-06-25,2.15000e+01,8.000000e-02,-8.000000e-02,2451923.000000,1.000000,-1.000000,0,148.0000,2.0000,-2.0000,0,80.700,0.900,-0.900,0,,,,,2.88000,,,0,,,,,,La Silla Observatory,,,,
448,HD 169830,c,HD 169830 c,Radial Velocity,2,2102.00000000,264.00000000,-264.00000000,0,3.600000,,,0,0.330000,0.020000,-0.020000,0,,,,,4.04000,,,0,Msini,,,,,,,,,0,0,0,0,18h27m49.48s,276.956177,-29d49m00.7s,-29.816866,37.64,0.15,-0.15,0,5.902,0.010,0,V (Johnson),5.762,,0,6299.00,,,0,1.40,,,0,,,,,2014-06-25,9.56000e+01,3.700000e-01,-3.700000e-01,2452516.000000,25.000000,-25.000000,0,252.0000,8.0000,-8.0000,0,54.300,3.600,-3.600,0,,,,,4.04000,,,0,,,,,,La Silla Observatory,,,,
459,HD 176986,b,HD 176986 b,Radial Velocity,2,6.48980000,0.00086000,-0.00086000,0,0.062960,0.000130,-0.000130,0,0.066000,0.066000,-0.066000,0,,,,0,0.01806,0.00208,-0.00208,0,Msini,,,,0,,,,0,0,0,0,0,19h03m05.87s,285.774475,-11d02m38.1s,-11.043926,27.81,0.05,-0.05,0,8.420,0.010,0,V (Johnson),8.142,,0,4931.00,77.00,-77.00,0,0.79,0.02,-0.02,0,0.78,0.04,-0.04,0,2017-12-21,2.26000e+00,6.000000e-03,-6.000000e-03,2455502.900000,1.700000,-1.700000,0,249.0000,91.0000,-91.0000,0,2.560,0.240,-0.240,0,,,,0,0.01806,0.00208,-0.00208,0,,,,0,BJD,Multiple Observatories,,,,0
460,HD 176986,c,HD 176986 c,Radial Velocity,2,16.81910000,0.00440000,-0.00440000,0,0.118780,0.000250,-0.000250,0,0.111000,0.080000,-0.080000,0,,,,0,0.02888,0.00305,-0.00305,0,Msini,,,,0,,,,0,0,0,0,0,19h03m05.87s,285.774475,-11d02m38.1s,-11.043926,27.81,0.05,-0.05,0,8.420,0.010,0,V (Johnson),8.142,,0,4931.00,77.00,-77.00,0,0.79,0.02,-0.02,0,0.78,0.04,-0.04,0,2017-12-21,4.27000e+00,1.200000e-02,-1.200000e-02,2455514.400000,4.300000,-4.300000,0,270.0000,130.0000,-130.0000,0,2.630,0.270,-0.270,0,,,,0,0.02888,0.00305,-0.00305,0,,,,0,BJD,Multiple Observatories,,,,0
462,HD 177830,b,HD 177830 b,Radial Velocity,2,410.10001000,2.20000000,-2.20000000,0,1.140000,0.030000,-0.030000,0,0.100000,0.050000,-0.050000,0,,,,0,1.69000,0.20000,-0.20000,0,Msini,,,,0,,,,0,0,0,0,0,19h05m20.77s,286.336548,+25d55m14.4s,25.920660,62.88,0.12,-0.12,0,7.177,0.010,0,V (Johnson),6.887,,0,4901.00,37.00,-37.00,0,1.70,0.28,-0.28,0,3.26,0.12,-0.12,0,2018-09-06,1.81000e+01,4.800000e-01,-4.800000e-01,,,,0,,,,0,32.600,1.000,-1.000,0,,,,,1.69000,0.20000,-0.20000,0,,,,0,,W. M. Keck Observatory,,,,0
463,HD 177830,c,HD 177830 c,Radial Velocity,2,110.90000000,0.10000000,-0.10000000,0,0.513700,0.000300,-0.000300,0,0.300000,0.100000,-0.100000,0,,,,,0.15000,0.02000,-0.02000,0,Msini,,,,,,,,,0,0,0,0,19h05m20.77s,286.336548,+25d55m14.4s,25.920660,62.88,0.12,-0.12,0,7.177,0.010,0,V (Johnson),6.887,,0,4901.00,37.00,-37.00,0,1.70,0.28,-0.28,0,3.26,0.12,-0.12,0,2014-05-14,8.17000e+00,1.700000e-02,-1.700000e-02,2450179.000000,7.000000,-7.000000,0,110.0000,29.0000,-29.0000,0,,,,,,,,,0.15000,0.02000,-0.02000,0,,,,,,W. M. Keck Observatory,,,,0
470,HD 181433,b,HD 181433 b,Radial Velocity,3,9.37430000,0.00190000,-0.00190000,0,0.080000,0.000000,0.000000,0,0.400000,0.060000,-0.060000,0,,,,0,0.02000,0.00000,0.00000,0,Msini,,,,0,,,,0,0,0,0,0,19h25m09.57s,291.289856,-66d28m07.7s,-66.468796,26.90,0.02,-0.02,0,8.400,,0,V (Johnson),8.092,,0,4918.00,15.00,-15.00,0,0.63,0.07,-0.07,0,0.79,0.01,-0.01,0,2018-09-06,2.97000e+00,2.000000e-03,-2.000000e-03,,,,0,,,,0,2.900,0.200,-0.200,0,,,,,0.02000,0.00000,0.00000,0,,,,0,,La Silla Observatory,,,,0
471,HD 181433,c,HD 181433 c,Radial Velocity,3,962.00000000,15.00000000,-15.00000000,0,1.760000,,,0,0.280000,0.020000,-0.020000,0,,,,,0.64000,,,0,Msini,,,,,,,,,0,0,0,0,19h25m09.57s,291.289856,-66d28m07.7s,-66.468796,26.90,0.02,-0.02,0,8.400,,0,V (Johnson),8.092,,0,4918.00,15.00,-15.00,0,0.63,0.07,-0.07,0,0.79,0.01,-0.01,0,2014-07-23,6.54000e+01,5.000000e-02,-5.000000e-02,2453235.000000,7.300000,-7.300000,0,21.4000,3.2000,-3.2000,0,16.200,0.400,-0.400,0,,,,,0.64000,,,0,,,,,,La Silla Observatory,,,,0
472,HD 181433,d,HD 181433 d,Radial Velocity,3,2172.00000000,158.00000000,-158.00000000,0,3.000000,,,0,0.480000,0.050000,-0.050000,0,,,,,0.54000,,,0,Msini,,,,,,,,,0,0,0,0,19h25m09.57s,291.289856,-66d28m07.7s,-66.468796,26.90,0.02,-0.02,0,8.400,,0,V (Johnson),8.092,,0,4918.00,15.00,-15.00,0,0.63,0.07,-0.07,0,0.79,0.01,-0.01,0,2014-07-23,1.12000e+02,1.000000e-01,-1.000000e-01,2452154.000000,194.000000,-194.000000,0,-30.0000,13.0000,-13.0000,0,11.300,0.900,-0.900,0,,,,,0.54000,,,0,,,,,,La Silla Observatory,,,,0
474,HD 183263,b,HD 183263 b,Radial Velocity,2,626.51599000,1.10000000,-1.10000000,0,1.490000,0.020000,-0.020000,0,0.360000,0.010000,-0.010000,0,,,,0,3.95000,0.22000,-0.22000,0,Msini,,,,0,,,,0,0,0,0,0,19h28m24.57s,292.102386,+08d21m29.0s,8.358054,54.28,0.11,-0.11,0,7.861,0.012,0,V (Johnson),7.718,,0,5948.00,27.00,-27.00,0,1.31,0.07,-0.07,0,1.23,0.02,-0.02,0,2018-09-06,2.74000e+01,3.700000e-01,-3.700000e-01,,,,0,,,,0,84.000,3.700,-3.700,0,,,,,3.95000,0.22000,-0.22000,0,,,,0,,W. M. Keck Observatory,,,,0
475,HD 183263,c,HD 183263 c,Radial Velocity,2,3070.00000000,110.00000000,-110.00000000,0,4.350000,0.280000,-0.280000,0,0.239000,0.064000,-0.064000,0,,,,,3.57000,0.55000,-0.55000,0,Msini,,,,,,,,,0,0,0,0,19h28m24.57s,292.102386,+08d21m29.0s,8.358054,54.28,0.11,-0.11,0,7.861,0.012,0,V (Johnson),7.718,,0,5948.00,27.00,-27.00,0,1.31,0.07,-0.07,0,1.23,0.02,-0.02,0,2014-07-23,8.01000e+01,5.160000e+00,-5.160000e+00,2451971.000000,94.000000,-94.000000,0,345.0000,12.0000,-12.0000,0,46.300,3.700,-3.700,0,,,,,3.57000,0.55000,-0.55000,0,,,,,,W. M. Keck Observatory,,,,0
478,HD 187123,b,HD 187123 b,Radial Velocity,2,3.09658280,0.00000780,-0.00000780,0,0.042600,0.002500,-0.002500,0,0.010300,0.005900,-0.005900,0,,,,,0.52300,0.04300,-0.04300,0,Msini,,,,,,,,,0,0,0,0,19h46m58.11s,296.742126,+34d25m10.3s,34.419525,46.02,0.07,-0.07,0,7.832,0.011,0,V (Johnson),7.673,,0,5830.00,40.00,-40.00,0,1.00,0.10,-0.10,0,,,,,2014-07-23,9.26000e-01,5.430000e-02,-5.430000e-02,2454343.120000,0.310000,-0.310000,0,25.0000,,,0,69.400,0.450,-0.450,0,,,,,0.52300,0.04300,-0.04300,0,,,,,,W. M. Keck Observatory,,,,
